2000000
code	freq(hz)
0x2dc	170.53206002728513
0x2dd	170.29972752043597
0x2de	170.06802721088437
0x2df	169.83695652173913
0x2e0	169.606512890095
0x2e1	169.37669376693768
0x2e2	169.14749661705008
0x2e3	168.9189189189189
0x2e4	168.69095816464238
0x2e5	168.46361185983827
0x2e6	168.23687752355318
0x2e7	168.01075268817203
0x2e8	167.78523489932886
0x2e9	167.5603217158177
0x2ea	167.33601070950468
0x2eb	167.11229946524065
0x2ec	166.88918558077435
0x2ed	166.66666666666666
0x2ee	166.44474034620507
0x2ef	166.22340425531914
0x2f0	166.00265604249668
0x2f1	165.78249336870027
0x2f2	165.56291390728478
0x2f3	165.34391534391534
0x2f4	165.12549537648613
0x2f5	164.90765171503958
0x2f6	164.69038208168644
0x2f7	164.47368421052633
0x2f8	164.257555847569
0x2f9	164.04199475065616
0x2fa	163.826998689384
0x2fb	163.61256544502618
0x2fc	163.3986928104575
0x2fd	163.18537859007833
0x2fe	162.97262059973923
0x2ff	162.76041666666666
0x300	162.5487646293888
0x301	162.33766233766235
0x302	162.12710765239947
0x303	161.91709844559585
0x304	161.70763260025873
0x305	161.49870801033592
0x306	161.29032258064515
0x307	161.08247422680412
0x308	160.87516087516087
0x309	160.66838046272494
0x30a	160.46213093709883
0x30b	160.25641025641025
0x30c	160.05121638924456
0x30d	159.846547314578
0x30e	159.64240102171138
0x30f	159.4387755102041
0x310	159.23566878980893
0x311	159.03307888040712
0x312	158.8310038119441
0x313	158.62944162436548
0x314	158.42839036755387
0x315	158.22784810126583
0x316	158.02781289506953
0x317	157.82828282828282
0x318	157.62925598991174
0x319	157.43073047858942
0x31a	157.23270440251574
0x31b	157.03517587939697
0x31c	156.83814303638644
0x31d	156.64160401002508
0x31e	156.44555694618273
0x31f	156.25
0x320	156.05493133583022
0x321	155.86034912718205
0x322	155.6662515566625
0x323	155.4726368159204
0x324	155.27950310559007
0x325	155.08684863523573
0x326	154.89467162329615
0x327	154.7029702970297
0x328	154.51174289245984
0x329	154.320987654321
0x32a	154.13070283600493
0x32b	153.9408866995074
0x32c	153.75153751537516
0x32d	153.56265356265357
0x32e	153.37423312883436
0x32f	153.18627450980392
0x330	152.99877600979192
0x331	152.8117359413203
0x332	152.62515262515262
0x333	152.4390243902439
0x334	152.25334957369063
0x335	152.06812652068126
0x336	151.88335358444715
0x337	151.6990291262136
0x338	151.5151515151515
0x339	151.3317191283293
0x33a	151.14873035066506
0x33b	150.96618357487924
0x33c	150.78407720144753
0x33d	150.6024096385542
0x33e	150.42117930204572
0x33f	150.2403846153846
0x340	150.06002400960384
0x341	149.8800959232614
0x342	149.7005988023952
0x343	149.52153110047846
0x344	149.34289127837516
0x345	149.16467780429593
0x346	148.98688915375448
0x347	148.8095238095238
0x348	148.63258026159335
0x349	148.45605700712588
0x34a	148.27995255041517
0x34b	148.1042654028436
0x34c	147.92899408284023
0x34d	147.75413711583926
0x34e	147.5796930342385
0x34f	147.4056603773585
0x350	147.23203769140164
0x351	147.05882352941177
0x352	146.88601645123384
0x353	146.71361502347418
0x354	146.54161781946073
0x355	146.37002341920376
0x356	146.19883040935673
0x357	146.02803738317758
0x358	145.85764294049008
0x359	145.6876456876457
0x35a	145.51804423748544
0x35b	145.34883720930233
0x35c	145.18002322880372
0x35d	145.01160092807424
0x35e	144.8435689455388
0x35f	144.67592592592592
0x360	144.50867052023122
0x361	144.3418013856813
0x362	144.17531718569782
0x363	144.00921658986175
0x364	143.84349827387803
0x365	143.67816091954023
0x366	143.51320321469575
0x367	143.348623853211
0x368	143.184421534937
0x369	143.02059496567506
0x36a	142.85714285714286
0x36b	142.69406392694063
0x36c	142.53135689851769
0x36d	142.36902050113895
0x36e	142.2070534698521
0x36f	142.04545454545453
0x370	141.88422247446084
0x371	141.7233560090703
0x372	141.56285390713478
0x373	141.40271493212668
0x374	141.24293785310735
0x375	141.08352144469526
0x376	140.92446448703495
0x377	140.76576576576576
0x378	140.607424071991
0x379	140.4494382022472
0x37a	140.29180695847361
0x37b	140.13452914798205
0x37c	139.97760358342666
0x37d	139.82102908277406
0x37e	139.66480446927375
0x37f	139.50892857142858
0x380	139.35340022296543
0x381	139.19821826280622
0x382	139.04338153503892
0x383	138.88888888888889
0x384	138.73473917869035
0x385	138.5809312638581
0x386	138.42746400885935
0x387	138.27433628318585
0x388	138.12154696132598
0x389	137.9690949227373
0x38a	137.81697905181917
0x38b	137.66519823788545
0x38c	137.5137513751375
0x38d	137.36263736263737
0x38e	137.211855104281
0x38f	137.06140350877192
0x390	136.91128148959476
0x391	136.76148796498907
0x392	136.6120218579235
0x393	136.46288209606988
0x394	136.31406761177755
0x395	136.16557734204792
0x396	136.01741022850925
0x397	135.8695652173913
0x398	135.72204125950054
0x399	135.57483731019522
0x39a	135.42795232936078
0x39b	135.28138528138527
0x39c	135.13513513513513
0x39d	134.98920086393088
0x39e	134.8435814455232
0x39f	134.69827586206895
0x3a0	134.55328310010765
0x3a1	134.40860215053763
0x3a2	134.2642320085929
0x3a3	134.12017167381975
0x3a4	133.9764201500536
0x3a5	133.83297644539616
0x3a6	133.6898395721925
0x3a7	133.54700854700855
0x3a8	133.40448239060834
0x3a9	133.26226012793177
0x3aa	133.1203407880724
0x3ab	132.9787234042553
0x3ac	132.8374070138151
0x3ad	132.6963906581741
0x3ae	132.55567338282077
0x3af	132.41525423728814
0x3b0	132.27513227513228
0x3b1	132.1353065539112
0x3b2	131.99577613516368
0x3b3	131.85654008438817
0x3b4	131.71759747102212
0x3b5	131.57894736842104
0x3b6	131.44058885383808
0x3b7	131.30252100840337
0x3b8	131.1647429171039
0x3b9	131.0272536687631
0x3ba	130.89005235602093
0x3bb	130.7531380753138
0x3bc	130.61650992685475
0x3bd	130.48016701461378
0x3be	130.34410844629824
0x3bf	130.20833333333334
0x3c0	130.07284079084286
0x3c1	129.93762993762994
0x3c2	129.80269989615783
0x3c3	129.66804979253112
0x3c4	129.5336787564767
0x3c5	129.39958592132504
0x3c6	129.26577042399174
0x3c7	129.13223140495867
0x3c8	128.99896800825593
0x3c9	128.8659793814433
0x3ca	128.73326467559218
0x3cb	128.6008230452675
0x3cc	128.46865364850976
0x3cd	128.33675564681724
0x3ce	128.2051282051282
0x3cf	128.0737704918033
0x3d0	127.94268167860798
0x3d1	127.8118609406953
0x3d2	127.68130745658836
0x3d3	127.55102040816327
0x3d4	127.420998980632
0x3d5	127.29124236252545
0x3d6	127.1617497456765
0x3d7	127.03252032520325
0x3d8	126.90355329949239
0x3d9	126.77484787018255
0x3da	126.64640324214793
0x3db	126.51821862348179
0x3dc	126.39029322548028
0x3dd	126.26262626262626
0x3de	126.13521695257316
0x3df	126.00806451612904
0x3e0	125.88116817724068
0x3e1	125.75452716297787
0x3e2	125.62814070351759
0x3e3	125.50200803212851
0x3e4	125.37612838515547
0x3e5	125.25050100200401
0x3e6	125.12512512512512
0x3e7	125.0
0x3e8	124.87512487512487
0x3e9	124.750499001996
0x3ea	124.62612163509472
0x3eb	124.5019920318725
0x3ec	124.37810945273633
0x3ed	124.2544731610338
0x3ee	124.13108242303873
0x3ef	124.0079365079365
0x3f0	123.8850346878097
0x3f1	123.76237623762377
0x3f2	123.63996043521266
0x3f3	123.51778656126483
0x3f4	123.39585389930899
0x3f5	123.2741617357002
0x3f6	123.15270935960591
0x3f7	123.03149606299213
0x3f8	122.91052114060963
0x3f9	122.78978388998036
0x3fa	122.6692836113837
0x3fb	122.54901960784314
0x3fc	122.42899118511264
0x3fd	122.30919765166341
0x3fe	122.18963831867057
0x3ff	122.0703125
0x400	121.95121951219512
0x401	121.83235867446393
0x402	121.71372930866602
0x403	121.59533073929961
0x404	121.47716229348882
0x405	121.35922330097087
0x406	121.24151309408342
0x407	121.12403100775194
0x408	121.00677637947724
0x409	120.88974854932302
0x40a	120.77294685990339
0x40b	120.65637065637065
0x40c	120.54001928640308
0x40d	120.42389210019267
0x40e	120.30798845043311
0x40f	120.1923076923077
0x410	120.07684918347742
0x411	119.9616122840691
0x412	119.84659635666347
0x413	119.73180076628353
